Disease,Symptom1,Symptom2,Symptom3,Symptom4,Causes,Medicines,Diets,Workout,Precaution1,Precaution2,Precaution3,Precaution4
Osteoarthritis,Joint pain,Stiffness,Swelling,Limited mobility,"Joint wear and tear, aging, joint injuries","     [""Acetaminophen"", ""Naproxen"", ""Duloxetine""] ","Omega-3-rich meals, leafy greens, low-fat dairy","Chair exercises, Neck stretches, Arm raises",Maintain healthy weight,Use ice packs,Use supportive footwear,Take prescribed medications
Panic Disorder,Panic attacks,Rapid heartbeat,Trembling,Sweating,"Genetics, stress, abnormal brain function","  [""Alprazolam"", ""Sertraline"", ""Cognitive Behavioral Therapy (CBT)""] ","Complex carbs, herbal teas, magnesium-rich foods","Side steps, Arm presses, Breathing stretches",Practice breathing exercises,Perform joint-friendly exercises,Seek therapy,Maintain a regular routine
Paralysis (Brain Hemorrhage),Sudden weakness,Numbness,Slurred speech,Loss of balance,"Brain bleeding from trauma, hypertension, aneurysm rupture"," [""Mannitol"", ""Nifedipine"", ""Supportive Care""] ","Soft meals, high-fiber foods, hydration drinks","Back stretches, Side leg raises, Core stability exercises",Follow rehabilitation exercises,Limit caffeine and alcohol,Manage blood pressure,Attend regular medical checkups
Parkinsons Disease,Tremors,Slow movements,Stiffness,Balance problems,Dopamine-producing neuron degeneration,"     [""Levodopa-Carbidopa"", ""Ropinirole"", ""Selegiline""] ","High-fiber foods, omega-3-rich meals, soft grains","Light Yoga, Deep breathing, Meditation",Follow exercise routine,Maintain healthy diet,Use assistive devices if needed,Maintain safe home environment
Peptic Ulcer Disease,Burning stomach pain,Nausea,Bloating,Weight loss,"H. pylori infection, NSAIDs, alcohol"," [""Omeprazole"", ""Amoxicillin"", ""Clarithromycin""] ","Non-spicy meals, probiotic yogurt, soft grains","Chair exercises, Neck stretches, Arm raises",Avoid spicy foods,Take medications as prescribed,Eat small frequent meals,Avoid NSAIDs unless prescribed
Pneumonia,Cough,Fever,Chest pain,Shortness of breath,"Bacterial, viral, or fungal lung infections","    [""Azithromycin"", ""Ceftriaxone"", ""Levofloxacin""] ","Protein-rich meals, hydration drinks, soft fruits","Flexibility exercises, Aquatic therapy, Gentle cycling",Rest and stay hydrated,Take medications as prescribed,Use humidifiers,Maintain hygiene
Polycystic Ovary Syndrome (PCOS),Irregular periods,Weight gain,Acne,Excess hair growth,"Hormonal imbalance, insulin resistance","  [""Metformin"", ""Oral Contraceptives"", ""Spironolactone""] ","Low-GI foods, lean proteins, fresh fruits","Breathing exercises, Gentle walking, Relaxation techniques",Maintain healthy weight,Follow prescribed medications,Exercise regularly,Manage stress
Psoriasis,Red patches,Scaling skin,Itching,Joint pain,Autoimmune response triggering skin cell overproduction,"  [""Topical Corticosteroids"", ""Methotrexate"", ""Calcipotriene""] ","Omega-3-rich foods, leafy greens, antioxidant-rich fruits","Brisk walking, Elliptical training, Gentle yoga",Keep skin moisturized,Follow balanced diet,Follow doctor‚Äôs treatment plan,Use gentle skincare products 
Respiratory Infection,Cough,Fever,Sore throat,Fatigue,"Viral or bacterial pathogens (cold, flu, pneumonia)"," [""Azithromycin"", ""Paracetamol"", ""Cough Suppressants""] ","Warm broths, vitamin C-rich fruits, herbal teas","Low-impact aerobics, Pilates, Tai Chi",Maintain hygiene,Avoid known triggers,Rest adequately,Use mask in crowded places
Rheumatoid Arthritis,Joint stiffness,Swelling,Pain,Fatigue,Autoimmune attack on joints,"    [""Methotrexate"", ""Hydroxychloroquine"", ""Etanercept""] ","Omega-3-rich meals, leafy greens, turmeric-rich foods","Foam rolling, Gentle jogging, Seated marches",Engage in gentle exercises,Stay hydrated,Follow medication plan,Use heat and cold therapy 
Sciatica,Lower back pain,Shooting leg pain,Numbness,Tingling,"Compression of sciatic nerve (herniated disc, spinal stenosis)"," [""Ibuprofen"", ""Muscle Relaxants"", ""Gabapentin""] ","Anti-inflammatory foods, omega-3 sources, fresh vegetables","Back stretches, Side leg raises, Core stability exercises",Maintain good posture,Perform stretches,Use cold and heat therapy,Avoid heavy lifting
Sleep Apnea,Loud snoring,Daytime sleepiness,Headaches,Irritability,"Airway obstruction, obesity, enlarged tonsils","   [""CPAP Therapy (Primary Treatment)"", ""Modafinil (for daytime sleepiness)"", ""Weight Management""] ","Weight-friendly meals, fiber-rich foods, fresh fruits","Low-impact aerobics, Pilates, Tai Chi",Maintain healthy weight,Avoid alcohol,Sleep on your side,Follow CPAP treatment
Strep Throat,Sore throat,Painful swallowing,Fever,Swollen glands,Streptococcus pyogenes bacterial infection,"  [""Penicillin"", ""Amoxicillin"", ""Azithromycin""] ","Soft foods, warm broths, hydration drinks","Leg lifts, Core strengthening, Seated leg extensions",Stay hydrated,Take antibiotics as prescribed,Avoid sharing utensils,Rest adequately
Tension Headache,Dull headache,Pressure around head,Fatigue,Irritability,"Stress, muscle tension, poor posture"," [""Aspirin"", ""Ibuprofen"", ""Acetaminophen""] ","Magnesium-rich foods, hydration drinks, herbal teas","Lunges, Squats (if advised), Heel-to-toe walks",Take antibiotics as prescribed,Maintain proper posture,Stay hydrated,Avoid excessive caffeine
Thyroid Disorder,Weight changes,Fatigue,Mood swings,Hair thinning,"Autoimmune disease, iodine imbalance, nodules","   [""Levothyroxine"", ""Methimazole"", ""Propylthiouracil""] ","Selenium-rich foods, iodine-rich meals, whole grains","Light Yoga, Deep breathing, Meditation",Practice relaxation techniques,Follow a balanced diet,Regular thyroid tests,Manage Stress
Tonsillitis,Sore throat,Swollen tonsils,Fever,Difficulty swallowing,Viral or bacterial infection of tonsils," [""Amoxicillin"", ""Ibuprofen"", ""Azithromycin""] ","Soft meals, warm teas, hydration drinks","Wall sits, Calf raises, Wrist stretches",Take medications as prescribed,Eat soft foods,Gargle with warm salt water,Avoid irritants
Tuberculosis,Persistent cough,Fever,Night sweats,Weight loss,Mycobacterium tuberculosis infection," [""Isoniazid"", ""Rifampicin"", ""Pyrazinamide""] ","High-calorie meals, protein-rich foods, fresh fruits","Seated yoga poses, Pelvic tilts, Gentle swimming",Rest and stay hydrated,Cover mouth while coughing,Ensure good ventilation,Maintain hygiene
Typhoid,High fever,Weakness,Abdominal pain,Rash,Salmonella typhi via contaminated food/water,"  [""Ceftriaxone"", ""Azithromycin"", ""Ciprofloxacin""] ","Soft grains, boiled vegetables, hydration drinks","Balance board exercises, Glute bridges, Bird-dogs",Take medications as prescribed,Drink clean water,Follow antibiotic course,Maintain hygiene
Urinary Tract Infection,Burning urination,Frequent urination,Cloudy urine,Pain,Bacterial invasion of urinary tract (E. coli common)," [""Nitrofurantoin"", ""Ciprofloxacin"", ""Trimethoprim-Sulfamethoxazole""] ","Cranberry juice, hydration drinks, vitamin C-rich fruits","Side steps, Arm presses, Breathing stretches",Eat properly cooked food,Maintain hygiene,Urinate frequently,Wear cotton underwear
Varicose Veins,Leg pain,Swelling,Itching,Visible veins,"Weak or damaged vein valves, prolonged standing"," [""Compression Stockings"", ""Ibuprofen"", ""Sclerotherapy (Procedure)""] ","High-fiber foods, hydration drinks, vitamin C sources","Light Yoga, Deep breathing, Meditation",Stay hydrated,Avoid prolonged standing,Wear compression stockings,Stay active
Vertigo (Paroxysmal Positional Vertigo),Dizziness,Nausea,Loss of balance,Spinning sensation,"Inner ear disturbances, head injuries","  [""Betahistine"", ""Meclizine"", ""Diazepam""] ","Low-sodium meals, hydration drinks, ginger tea","Light dance movements, Resistance band pulls, Gentle stretching",Elevate legs,Perform balance exercises,Use handrails when moving,Stay hydrated
Vision Fatigue,Eye strain,Blurred vision,Headache,Dry eyes,"Prolonged screen time, poor lighting, eye strain","   [""Artificial Tears"", ""Lubricating Eye Drops"", ""Screen Breaks""] ","Vitamin A-rich foods, leafy greens, omega-3-rich meals","Brisk walking, Elliptical training, Gentle yoga",Avoid sudden head movements,Use proper lighting,Perform eye exercises,Maintain regular eye checkup
Whooping Cough (Pertussis),Severe cough,Runny nose,Fever,Vomiting after coughing,Bordetella pertussis bacterial infection,"  [""Azithromycin"", ""Erythromycin"", ""Supportive Care""] ","Soft foods, warm broths, hydration drinks","Knee strengthening, Hip stretches, Low-impact cardio",Get vaccinated,Cover mouth when coughing,Stay hydrated,Avoid spreading infection
